trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-22.613995246667972,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-122.84300448319382,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-91.16737299399861,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-122.39641967945754,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-130.02125811611396,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-172.72753505590862,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-111.33594910944235,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-58.159674421118794,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-117.19008317145085,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-72.07574878842806,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,10,-19.72643758311399,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,9,-155.74830320327348,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-85.31489166026692,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-129.92984017053934,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-64.27862196961487,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-55.01844966215361,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,2.819659515597773,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-88.74713597329685,"{0: 30, 1: 0, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,5,-59.27601019584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0}",20,0,-31.525856493899816,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0}",25,19,-31.192209226573187,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 0}",25,13,-50.215486585055714,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0}",35,0,-68.92587079334616,"{0: 31, 1: 0, 2: 1, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 0}",20,6,-24.1172832502225,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 0}",30,11,-26.55325221814827,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 0}",25,17,11.263197940945929,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0}",30,0,-3.2149858655758194,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0}",20,1,-15.59367689641319,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 0}",25,14,17.250199795153936,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",30,8,-80.99623649696292,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 2}",1
