trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-164.84296577266647,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.25}",20,0,-65.14629720304062,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.1111111111111111}",30,0,-61.378371543997446,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.0625}",25,2,-144.09463324504878,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 3}",1
5,False,"{'a': 0.6, 'e': 0.04}",20,0,-111.7788006116332,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.027777777777777776}",25,0,-229.66095288948102,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 5}",0
7,False,"{'a': 0.6, 'e': 0.02040816326530612}",30,0,-53.12534419679496,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.015625}",20,1,-59.876992960188616,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.6, 'e': 0.012345679012345678}",20,12,-8.945350733137875,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.01}",30,0,-154.34007302641152,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
11,False,"{'a': 0.6, 'e': 0.008264462809917356}",20,0,12.29503299526326,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.006944444444444444}",25,0,-88.52783985790971,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.005917159763313609}",30,0,2.0170995775943985,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.00510204081632653}",20,0,-58.22939708293538,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.0044444444444444444}",25,13,-0.8593934615074055,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.00390625}",20,0,11.411030072423122,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.0034602076124567475}",30,0,-95.80221260947405,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.6, 'e': 0.0030864197530864196}",20,0,-30.389315179246978,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.002770083102493075}",20,0,-6.29931436372323,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.0025}",20,0,-2.553561653681099,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.0022675736961451248}",20,4,-21.095178585819884,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.002066115702479339}",20,0,-70.51878946045535,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.6, 'e': 0.001890359168241966}",20,13,14.779563685569329,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.001736111111111111}",20,0,-29.465257674266404,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.0016}",20,0,-62.44228208760209,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.0014792899408284023}",25,0,-19.085564366525414,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.6, 'e': 0.0013717421124828531}",20,0,-40.86449632104713,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.0012755102040816326}",30,0,-81.40545570975227,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.6, 'e': 0.0011890606420927466}",20,0,12.526007310497661,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.6, 'e': 0.0011111111111111111}",25,2,-48.01292511965141,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.6, 'e': 0.001040582726326743}",25,11,-19.6001035155169,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.6, 'e': 0.0009765625}",20,0,4.772043340031316,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.6, 'e': 0.0009182736455463728}",20,16,8.248741299541022,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.0008650519031141869}",20,1,29.36238887085211,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.6, 'e': 0.0008163265306122449}",25,0,-58.88153412361176,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.6, 'e': 0.0007716049382716049}",25,0,23.578416754133077,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.0007304601899196494}",20,0,-23.016322470784182,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
38,False,"{'a': 0.6, 'e': 0.0006925207756232687}",20,0,9.441349782983128,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.6, 'e': 0.0006574621959237344}",25,0,36.55585781411353,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.6, 'e': 0.000625}",30,0,32.94791972847308,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.000594883997620464}",25,0,-5.77388547252198,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
42,False,"{'a': 0.6, 'e': 0.0005668934240362812}",25,3,36.10679126996382,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.0005408328826392645}",25,13,18.71591245032411,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.6, 'e': 0.0005165289256198347}",20,0,33.56754832036954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.6, 'e': 0.0004938271604938272}",25,0,-10.541819978162765,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.0004725897920604915}",20,6,24.94840772644989,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
