trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",30,0,-162.73568127976614,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.25}",25,0,-64.97553152995717,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.1111111111111111}",20,0,-109.63935652051046,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.0625}",35,18,15.266047242030057,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.6, 'e': 0.04}",25,0,-112.64378061730922,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.027777777777777776}",20,11,5.293708356326804,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.02040816326530612}",20,0,-24.467737107536326,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.015625}",20,0,-59.57113862984919,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.012345679012345678}",25,0,-157.08641722754672,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
10,False,"{'a': 0.6, 'e': 0.01}",20,0,-64.27917103493182,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.008264462809917356}",25,0,-102.38936534071132,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.006944444444444444}",25,0,-26.134235753477412,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.005917159763313609}",20,0,-39.7358502634741,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.00510204081632653}",35,0,-129.93141509569531,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 4}",0
15,False,"{'a': 0.6, 'e': 0.0044444444444444444}",20,9,-96.86412236142576,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
16,False,"{'a': 0.6, 'e': 0.00390625}",25,12,-33.311723181124606,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.6, 'e': 0.0034602076124567475}",25,0,18.267626445965547,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.0030864197530864196}",25,0,-15.445810671538812,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.002770083102493075}",20,0,-107.02306199247374,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
20,False,"{'a': 0.6, 'e': 0.0025}",25,0,-65.89559553706763,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
21,False,"{'a': 0.6, 'e': 0.0022675736961451248}",20,0,-56.733206902951025,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.002066115702479339}",20,14,9.819918255480326,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.6, 'e': 0.001890359168241966}",20,6,21.09343351133603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.001736111111111111}",20,0,-88.57129855221207,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.6, 'e': 0.0016}",20,0,-4.735357058681669,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.0014792899408284023}",20,0,-9.351932456847338,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.0013717421124828531}",20,3,27.044485133515664,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.0012755102040816326}",20,0,-122.67932380042942,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
29,False,"{'a': 0.6, 'e': 0.0011890606420927466}",20,8,13.564462312325674,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.0011111111111111111}",35,0,-72.01109831295547,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.6, 'e': 0.001040582726326743}",25,0,-17.63077896380037,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
32,False,"{'a': 0.6, 'e': 0.0009765625}",20,0,-19.587497926406087,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.6, 'e': 0.0009182736455463728}",20,13,9.976165639102746,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.0008650519031141869}",30,0,-46.284957344911945,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
35,False,"{'a': 0.6, 'e': 0.0008163265306122449}",20,0,-56.35962654371744,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.0007716049382716049}",20,0,-6.877500179737339,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.0007304601899196494}",30,0,22.867499617150617,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.0006925207756232687}",20,6,19.137947286922998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.0006574621959237344}",25,10,14.227417159816639,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.000625}",25,20,8.345178690569302,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.6, 'e': 0.000594883997620464}",20,8,-35.31362620796258,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.6, 'e': 0.0005668934240362812}",30,0,14.170327343921024,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
43,False,"{'a': 0.6, 'e': 0.0005408328826392645}",35,0,29.687619603483412,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.6, 'e': 0.0005165289256198347}",30,0,-46.558150991448926,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
45,False,"{'a': 0.6, 'e': 0.0004938271604938272}",30,0,-19.310385278429603,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.0004725897920604915}",20,0,10.657610262587836,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.0004526935264825713}",20,0,4.3335636732616365,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.00043402777777777775}",20,0,-16.857816980570867,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.00041649312786339027}",30,0,-9.788331457806525,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
50,False,"{'a': 0.6, 'e': 0.0004}",25,0,9.454862845003055,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
51,False,"{'a': 0.6, 'e': 0.00038446751249519417}",25,14,8.503212778067853,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.0003698224852071006}",20,0,-1.2638692846185444,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
