trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.166527975318125,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-134.86515391281785,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-147.38049518815166,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-236.71054218704583,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-115.23549694243624,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-86.1238706061762,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-33.875513243852545,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,7,-14.53281437785499,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,6,-25.787263132900524,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.01}",25,14,4.114528073463995,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",30,1,-94.77521662702064,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,0,-77.36448724498838,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,0,29.13955989273534,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,14,12.57523910968811,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,12,-18.945845370808524,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",30,15,-84.75366814314732,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,-42.05984523798268,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,7,-32.49185844076991,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,4.176561013816098,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0025}",30,10,12.207639254590074,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
