trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.34666843168515,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.05752518952798,"{0: 9, 1: 6, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.1144771198373,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.51918250749573,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.61464485883481,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.98177404313392,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.78575598026616,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.12772050188119,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.77699651155272,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,1,-87.00799746846722,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,5,-280.84824344510974,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 5}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.20736648873022,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.881221031584,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-27.861250001242674,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.36746465068322,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.59054810623138,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.11904439292712,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.42982398227542,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-246.10100235808662,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.41081519919877,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.39550423286559,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.72584989344656,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-51.49805394120819,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,7,-104.93596599599542,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.80275853545345,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.68772673685274,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.93012433061585,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-67.52190218289603,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.4780925517799,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.57152079247808,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
